name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake
Government College of Science Surat,Surat,Gujarat,Government,1934,230,B,237,1316,2.0,41608,59479,True,87.0,8.08,18.83,333,1459.5,False,True,True,True,False,False,70.6,NEET UG,2626
Radhakrishnan Academy of Journalism Vijayawada,Vijayawada,Andhra Pradesh,Deemed,1998,,A+,87,975,1.5,592004,104425,False,,8.11,40.53,685,1177.4,True,True,True,True,True,True,37.7,WBJEE,1449
State Institute of Management Phagwara,Phagwara,Punjab,Government,1896,52,B++,22,424,5.6,131306,62708,True,,30.8,167.45,156,182.0,True,False,True,False,False,False,21.6,State Level,2370
Prime College of Medical Sciences Dharamsala,Dharamsala,Himachal Pradesh,Private,2002,166,B+,52,481,2.3,106596,90880,False,26.7,5.24,25.29,308,372.5,False,True,False,False,False,True,66.1,BITSAT,1105
Autonomous College of Physical Education Bhubaneswar,Bhubaneswar,Odisha,Autonomous,2012,,B++,118,207,13.1,123431,85869,False,48.7,2.45,16.79,150,1938.3,True,True,True,True,True,False,7.6,JEE Advanced,2719
Sapru Deemed University Nagaon,Nagaon,Assam,Deemed,1966,94,A+,109,373,4.1,348182,173215,True,93.8,13.6,71.35,195,232.7,True,False,True,False,False,False,48.1,AP EAMCET,1523
Guru Gobind Singh College of Education and Research Bardhaman,Bardhaman,West Bengal,Private,1881,363,A,66,87,52.1,226116,95377,True,52.1,2.83,17.96,482,852.9,True,True,False,True,True,True,34.0,CAT,4530
Hemvati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,Government,1973,,A,243,1344,0.4,32134,127807,True,40.6,4.98,30.42,290,381.6,False,False,False,False,False,True,16.8,CUET,500
State Institute of Technology Karaikal,Karaikal,Puducherry,Government,1873,,A+,224,330,17.4,115638,40776,True,92.4,17.87,49.06,456,697.7,True,True,True,False,True,False,77.9,Own Entrance,5756
Autonomous College of Computer Science Itanagar,Itanagar,Arunachal Pradesh,Autonomous,1903,,B+,209,880,7.8,108367,133222,False,61.1,6.94,17.41,587,438.5,True,True,True,True,True,True,12.8,State Level,6903
Andhra University,Visakhapatnam,A.P.,Government,1926,345,A,184,924,2.2,41702,114173,True,33.8,3.13,6.75,614,986.9,False,False,True,True,True,True,27.7,Own Entrance,2000
Prime College of Fine Arts Gangtok,Gangtok,Sikkim,Private,1947,166,B,64,1282,2.7,244696,130361,False,77.1,9.05,57.33,229,2447.4,True,True,False,True,True,False,38.0,WBJEE,3515
Government Polytechnic Kochi,Kochi,Kerala,Government,1932,86,A++,199,1190,2.8,50240,143059,False,66.0,11.15,42.78,209,1075.9,False,False,True,True,True,True,47.1,CUET,3327
Sapru College of Education and Research Aligarh,Aligarh,Uttar Pradesh,Private,1923,139,B+,202,452,13.5,331465,160512,True,65.9,9.32,65.1,39,2030.1,True,True,True,True,True,True,36.7,JEE Main,6088
Chanakya Autonomous Institute Visakhapatnam,Visakhapatnam,Andhra Pradesh,Autonomous,1894,302,B+,44,1142,2.7,68806,154050,True,39.9,4.63,25.72,455,1359.5,False,True,False,False,False,True,46.0,NEET UG,3108
Swami Foundation Education College Gandhinagar,Gandhinagar,Gujarat,Private,1966,333,B+,199,297,3.0,292419,157982,False,46.4,5.36,30.69,514,1387.8,False,True,False,True,True,True,9.2,VITEEE,889
Agartala Information Technology Autonomous College,Agartala,Tripura,Autonomous,1930,93,B++,97,927,3.0,216144,124607,True,51.6,8.59,38.5,628,1552.6,False,True,True,True,True,True,30.6,University Entrance,2784
Saraswati Foundation Applied Sciences College Mandi,Mandi,Himachal Pradesh,Private,1857,23,A+,80,1193,1.1,2282138,98709,True,84.2,18.31,105.91,377,2248.0,False,False,True,True,True,True,17.9,JEE Main,1332
Sri Kalam Institute of Engineering Raipur,Raipur,Chhattisgarh,Private,1926,441,B++,212,,,286074,157539,True,50.6,4.77,10.18,612,2282.6,False,False,False,True,False,False,37.0,NATA,4222
Global Academy of Nursing Dimapur,Dimapur,Nagaland,Private,1923,,B,99,1362,4.1,203659,138976,True,56.0,7.91,24.97,700,1432.6,False,True,True,False,False,True,14.1,State Level,5543
Chanakya Institute of Pharmacy Aizawl,Aizawl,Mizoram,Private,2008,299,B++,81,547,12.7,275845,123146,True,36.5,2.99,15.81,348,,True,True,True,True,True,True,74.5,COMEDK,6945
Coimbatore Institute of Fine Arts,Coimbatore,Tamil Nadu,Private,1860,35,A,210,,,638712,142962,True,91.5,26.64,167.28,89,1798.1,True,True,False,False,False,True,39.7,AP EAMCET,2638
Government College of Ayurveda Meerut,Meerut,Uttar Pradesh,Government,1853,69,A+,210,494,1.4,60620,69420,True,83.3,11.96,30.79,209,1055.1,True,False,True,True,False,True,11.1,VITEEE,689
Amrita University Aurangabad,Aurangabad,Maharashtra,Private,1870,,B++,20,1059,3.3,486703,59042,False,80.9,5.01,17.34,274,1408.3,False,True,False,False,False,False,35.8,SRMJEEE,3487
Jorhat Hotel Management Autonomous College,Jorhat,Assam,Autonomous,1987,,A,5,603,11.9,,172049,False,48.0,2.49,5.84,575,474.7,False,False,False,False,True,False,54.9,Own Entrance,7172
Patel Institute of Physical Education Kohima,Kohima,Nagaland,Private,1972,121,B++,232,127,30.2,776153,97735,True,67.3,8.76,25.65,371,1448.5,True,True,False,False,True,True,23.3,CAT,3839
Deemed Institute of Commerce Aurangabad,Aurangabad,Maharashtra,Deemed,1875,403,A,213,189,3.6,192932,157730,True,46.6,,,76,2192.9,False,False,False,True,True,True,67.3,State Level,688
Sri Indira Institute of Arts Kohima,Kohima,Nagaland,Private,1918,,B+,176,1148,0.6,315682,41593,True,32.1,2.05,6.78,298,1515.0,True,False,True,True,True,False,44.8,WBJEE,637
Deemed Institute of Law Gandhinagar,Gandhinagar,Gujarat,Deemed,2010,72,A,10,497,9.2,667601,42282,True,87.8,17.44,115.66,404,556.6,True,True,True,False,True,True,29.9,CAT,4570
Dhanbad Management Autonomous College,Dhanbad,Jharkhand,Autonomous,1858,172,,92,1094,5.7,249386,30281,True,67.0,4.36,10.61,160,1618.9,True,True,True,False,True,False,23.8,BITSAT,6232
IISER Mohali,Mohali,Punjab,Government,2007,,A+,58,1175,0.1,137427,83850,True,98.8,30.1,91.08,610,541.4,True,True,True,True,False,True,74.1,IAT,170
State Institute of Physical Education Nellore,Nellore,Andhra Pradesh,Government,1996,12,B+,170,207,30.9,120742,40070,True,85.7,14.06,37.21,474,2031.0,False,True,True,True,False,True,40.3,University Entrance,6393
Babasaheb Foundation Science College Shillong,Shillong,Meghalaya,private,1856,345,B++,75,649,5.8,280056,117942,False,25.8,4.81,28.02,85,,True,True,True,False,True,True,72.5,WBJEE,3776
Autonomous College of Agriculture Anantnag,Anantnag,Jammu & Kashmir,Autonomous,1976,220,A++,195,1490,4.2,100138,53852,True,58.9,,,614,,True,False,False,True,False,False,55.1,CUET,6326
Anand Autonomous College of Nursing,Anand,Gujarat,Autonomous,1883,,B++,120,1043,3.1,,120475,True,,4.38,18.11,447,578.2,True,False,True,False,True,True,32.5,UPSEE,3285
Dimapur Institute of Education (Deemed),Dimapur,Nagaland,Deemed,1903,228,A,126,,,274269,102977,True,37.4,3.07,13.08,336,1987.4,False,True,False,False,False,False,14.4,CLAT,7822
Chandigarh State Law College Chandigarh,Chandigarh,Chandigarh,Government,1945,182,A+,210,340,5.8,89721,161818,True,71.2,13.19,72.81,14,2020.9,True,True,False,True,True,False,19.7,VITEEE,1985
Academy of Homeopathy Kollam,Kollam,Kerala,Deemed,2015,209,B+,93,884,7.5,216813,142768,True,37.4,4.22,12.94,144,1488.8,False,True,True,False,False,True,24.4,CAT,6592
Modern Institute of Management Namchi,Namchi,Sikkim,private,1928,71,B,91,1020,1.9,1199577,75908,False,85.4,15.22,87.72,373,54.6,False,True,False,False,False,False,44.2,KCET,1979
State Institute of Physical Education Aizawl,Aizawl,Mizoram,Government,2017,81,A+,195,409,10.0,232587,130213,True,,27.83,63.19,137,2363.2,False,True,True,False,False,False,63.3,NATA,4095
Government Polytechnic New Delhi,New Delhi,Delhi,Government,2015,135,A,17,727,8.6,73570,175101,False,87.4,6.04,17.5,550,1339.5,True,True,False,False,True,True,52.1,NEET UG,6249
Tura Institute of Management,Tura,Meghalaya,Private,1993,,B++,113,855,4.8,674840,84642,True,82.6,12.02,76.6,469,156.5,True,True,True,True,True,False,57.9,University Entrance,4094
Srinagar Institute of Computer Science (Deemed),Srinagar,Jammu & Kashmir,Deemed,1915,238,B+,132,773,6.6,203324,48855,True,35.0,3.99,23.07,134,2235.6,True,False,True,True,True,True,34.0,NEET UG,5110
Delhi Social Work Autonomous College,Delhi,New Delhi,Autonomous,1900,,A,158,390,17.0,95359,32266,True,49.7,3.15,8.25,344,1478.7,False,False,False,False,False,True,20.9,JEE Advanced,6635
Autonomous College of Physical Education Howrah,Howrah,West Bengal,Autonomous,1958,,B++,142,1412,1.1,197336,48124,True,67.5,7.47,51.11,268,370.5,True,False,False,False,False,False,83.0,NATA,1602
Global Academy of Arts Aizawl,Aizawl,Mizoram,Private,1960,,A+,108,797,4.1,241599,123704,True,64.8,4.21,11.48,320,1952.0,True,True,True,True,False,True,26.1,Own Entrance,3274
Babasaheb College of Science and Research Dharwad,Dharwad,Karnataka,Private,1942,481,A,95,545,4.7,171804,162448,True,31.2,4.03,11.13,148,1107.4,True,True,True,True,True,True,36.2,UPSEE,2545
Prime College of Dental Sciences Imphal,Imphal,Manipur,Private,1967,433,B+,217,1009,5.2,,33627,True,47.7,3.19,21.13,572,1018.3,True,True,True,False,True,False,55.6,CLAT,5252
Kalyani Institute of Education (Deemed),Kalyani,West Bengal,Deemed,2003,,B,238,160,3.1,279353,42158,True,46.5,3.07,18.88,112,1697.6,True,True,True,True,True,True,13.5,NATA,494
State Institute of Applied Sciences Bellary,Bellary,Karnataka,Government,1871,409,B++,44,1084,4.9,41848,130825,True,58.8,2.08,4.35,585,1410.4,True,True,True,True,True,True,56.2,State Level,5342
Guru Gobind Singh Academy of Architecture Agartala,Agartala,Tripura,Deemed,1991,,A,43,1177,2.2,231418,23883,True,54.1,8.7,28.69,267,1342.7,False,False,False,False,True,False,71.3,KCET,2540
Kamla Nehru University Aizawl,Aizawl,Mizoram,Private,2023,292,B+,60,1201,6.5,273040,138765,False,30.2,5.49,25.61,469,1063.4,True,False,False,True,True,True,52.3,SRMJEEE,7842
Vidyasagar Autonomous Institute Prayagraj,Prayagraj,Uttar Pradesh,Autonomous,1967,187,B,46,1374,2.4,42576,160841,True,26.7,4.26,23.08,622,226.0,True,False,True,True,True,True,58.3,WBJEE,3319
Solapur College of Law,Solapur,Maharashtra,Private,1982,213,B+,87,625,2.2,355264,153234,False,52.6,5.44,28.22,207,1302.9,True,False,True,True,True,True,64.6,AP EAMCET,1400
Jamshedpur Institute of Technology,Jamshedpur,Jharkhand,Private,1867,184,A,223,351,9.6,,129434,True,45.1,3.2,10.35,425,2191.0,True,True,True,True,True,True,67.1,CUET,3367
Grant Medical College,Mumbai,Maharashtra,Government,1845,,A+,234,1426,0.1,54226,62585,False,78.0,10.67,66.66,563,830.7,True,True,True,True,True,True,64.5,NEET UG,200
Satna Institute of Arts (Deemed),Satna,Madhya Pradesh,Deemed,1981,,B+,61,306,20.6,521464,139019,True,68.3,9.01,22.78,382,965.2,False,True,True,True,True,False,39.0,TNEA,6289
Patel Foundation Fine Arts College Sambalpur,Sambalpur,Odisha,Private,2019,,B+,137,1120,4.9,221671,83934,True,66.7,6.62,15.74,621,1224.5,True,True,True,False,True,True,50.6,TS EAMCET,5433
District Journalism College Gangtok,Gangtok,Sikkim,Government,1952,249,A+,63,281,7.8,55315,156769,False,75.0,11.41,44.72,91,1771.3,False,False,True,False,False,True,34.7,TS EAMCET,2185
New Delhi Government Ayurveda College,New Delhi,Delhi,Government,2018,307,B++,165,1323,1.2,,166918,True,54.6,5.91,24.46,488,572.3,False,False,False,False,False,False,68.3,WBJEE,1625
Pune Government Law College,Pune,maharashtra,Government,1940,407,A,112,843,6.0,,51922,False,61.7,2.77,6.15,341,147.6,True,False,True,False,True,False,34.8,UPSEE,5088
Autonomous College of Fashion Design Rajkot,Rajkot,Gujarat,Autonomous,1993,420,B++,100,517,7.5,121569,77389,True,28.1,4.35,14.42,467,1835.0,False,False,False,True,True,False,45.7,CAT,3884
Raman University Aizawl,Aizawl,Mizoram,Private,1936,45,,140,366,18.6,677810,60992,True,90.8,15.03,36.29,455,1341.3,False,True,False,True,True,True,36.7,WBJEE,6811
Autonomous College of Information Technology Delhi,Delhi,Delhi,Autonomous,2020,204,B++,225,688,2.2,55796,122607,False,73.0,3.4,9.7,40,200.8,True,False,False,True,False,True,69.1,GATE,1480
Modern Institute of Ayurveda Tezpur,Tezpur,Assam,Private,1987,,B,102,1206,2.0,248089,39887,True,57.7,2.28,7.27,45,876.7,True,True,True,False,True,True,76.2,TS EAMCET,2374
Roorkee Autonomous College of Fine Arts,Roorkee,Uttarakhand,Autonomous,1886,,B,142,1145,1.5,139941,153352,False,42.6,1.89,12.31,209,18.6,False,False,True,True,False,True,70.9,CUET,1754
Kurukshetra Institute of Applied Sciences,Kurukshetra,Haryana,Private,1901,163,B+,192,928,0.7,625367,108703,True,,5.0,22.89,558,668.9,True,True,True,True,True,True,75.8,MHT CET,659
Autonomous College of Social Work Karaikal,Karaikal,Puducherry,Autonomous,1924,,A+,231,627,7.4,478017,146267,True,77.9,16.34,93.62,172,1325.7,True,True,True,True,True,True,26.2,GATE,4628
Shimla Social Work Autonomous College,Shimla,Himachal Pradesh,Autonomous,1923,256,B+,207,607,12.9,135967,123236,True,42.4,4.07,18.14,478,2268.8,False,False,False,False,False,True,12.6,CAT,7837
State Institute of Social Work Delhi,Delhi,Delhi,Government,2010,202,A,226,198,10.8,26994,46020,True,71.4,9.64,46.19,246,2414.1,True,False,False,False,False,True,56.7,NEET UG,2142
Nagaland State Computer Science College Kohima,Kohima,Nagaland,Government,1987,,B++,202,336,9.3,44610,171699,True,50.7,5.01,14.46,46,2106.2,False,True,True,True,True,True,52.4,NATA,3114
Prime College of Fine Arts Aizawl,Aizawl,Mizoram,Private,1997,,B++,74,1288,0.9,552987,60070,True,70.0,4.88,18.61,549,,False,False,False,True,False,False,27.7,VITEEE,1165
Autonomous College of Pharmacy Kannur,Kannur,Kerala,autonomous,1948,,B,75,1172,0.6,159862,49583,True,65.9,3.06,17.12,620,1395.6,True,True,True,True,True,True,22.7,JEE Main,689
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Government,2016,349,,224,80,3.1,18555,130138,False,43.6,5.08,34.19,599,952.2,False,True,True,False,True,True,1.5,JEE Advanced,250
District Management College Korba,Korba,Chhattisgarh,Government,1852,374,B++,99,1349,3.2,15190,53126,True,35.0,4.27,14.25,265,1696.2,False,False,True,True,True,False,36.1,University Entrance,4267
Jadavpur University,Kolkata,West Bengal,Government,1955,35,A++,244,702,2.8,72737,125076,True,94.4,16.25,43.92,264,19.1,True,False,False,True,False,True,33.2,WBJEE,2000
Tagore Institute of Physical Education Pantnagar,Pantnagar,Uttarakhand,Private,1933,,B++,78,320,2.7,760335,79041,True,63.4,7.91,19.06,351,1822.2,True,True,True,False,True,True,19.3,CLAT,849
Excel Institute of Arts Darbhanga,Darbhanga,Bihar,Private,1874,92,B++,195,902,3.1,704108,157555,True,97.2,19.31,73.57,18,258.2,True,False,True,True,False,True,3.7,TS EAMCET,2783
Gandhi Institute of Arts Chandigarh,Chandigarh,Chandigarh,Private,2007,227,A,235,976,6.9,213818,172585,False,57.2,4.78,25.64,423,977.2,True,True,True,True,True,False,34.8,BITSAT,6750
Modern Institute of Nursing Haldwani,Haldwani,Uttarakhand,Private,1866,57,B+,192,1399,4.9,678746,153753,True,76.5,8.96,49.24,17,1449.7,True,True,False,True,True,True,11.1,KCET,6898
Indian School of Business,Hyderabad,Telangana,Private,2001,67,A++,20,1047,0.9,2025080,100612,True,81.9,20.6,65.73,155,1779.7,False,True,True,False,True,True,8.8,GMAT/GRE,900
Aurobindo Autonomous Institute Puducherry,Puducherry,Puducherry,Autonomous,1853,,B++,217,1145,5.7,118722,159221,False,37.6,2.26,13.26,659,812.5,True,True,True,True,True,True,44.2,JEE Advanced,6555
Nainital Government Management College,Nainital,Uttarakhand,Government,1991,52,A+,102,1113,6.3,298852,88439,True,85.2,12.0,28.64,352,676.3,False,False,True,False,False,False,59.2,Own Entrance,7046
Chennai Institute of Management (Deemed),Chennai,Tamil Nadu,Deemed,1883,,A++,199,798,4.8,1116037,124298,True,94.8,9.86,52.74,492,1361.0,False,False,False,True,False,False,25.9,BITSAT,3846
Deemed Institute of Computer Science Faridabad,Faridabad,Haryana,Deemed,1873,365,B,149,,,119211,97306,False,48.4,5.55,33.95,329,1037.0,False,False,True,False,True,False,47.1,BITSAT,4490
Tilak Autonomous Institute Gwalior,Gwalior,Madhya Pradesh,Autonomous,1937,88,B++,198,,,290081,151621,True,81.6,,,327,1282.8,True,True,False,False,False,False,24.2,Own Entrance,4759
Acharya Autonomous Institute Chandigarh,Chandigarh,Chandigarh,autonomous,1882,,B+,38,308,17.1,63292,92613,True,73.1,7.18,22.22,459,1246.1,False,False,False,False,True,False,72.4,JEE Advanced,5254
Jai Prakash Deemed University Hubli,Hubli,Karnataka,Deemed,1995,,B+,23,1058,6.3,561618,27053,True,77.8,13.92,82.25,325,469.9,False,True,False,False,False,True,57.7,AP EAMCET,6679
Raman Institute of Nursing Haridwar,Haridwar,Uttarakhand,Private,1966,251,B++,23,277,3.3,127502,160865,False,30.8,4.75,21.02,250,1804.1,True,True,True,True,True,True,50.8,JEE Advanced,915
Government Science College Lucknow,Lucknow,Uttar Pradesh,Government,1874,,B++,77,607,5.8,20234,168522,True,66.4,6.11,42.06,450,603.2,True,False,True,False,True,False,19.5,University Entrance,3527
Guru Gobind Singh Deemed University Naharlagun,Naharlagun,Arunachal Pradesh,Deemed,1963,,B++,88,1229,2.7,140752,160267,True,36.0,5.14,11.7,656,1128.6,False,False,False,False,False,True,83.3,GATE,3259
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,Deemed,2003,,A++,193,395,7.6,251448,97116,False,62.6,9.89,23.46,536,300.1,True,False,True,True,False,True,4.4,AEEE,3000
Excel Institute of Veterinary Science Phagwara,Phagwara,Punjab,Private,1881,12,A,145,1467,2.8,1377862,55915,True,90.8,21.6,148.57,77,1648.6,False,False,True,True,True,False,66.1,TS EAMCET,4043
Autonomous College of Architecture Silchar,Silchar,Assam,Autonomous,1858,45,B++,46,527,9.9,203754,67755,True,70.3,13.62,84.13,416,807.7,False,False,False,False,True,True,49.1,AP EAMCET,5236
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,Government,1961,118,A+,210,1394,0.5,24329,81190,True,86.2,12.88,66.01,212,1064.0,True,True,True,True,False,True,46.7,JEE Main,750
Patel Academy of Law Tura,Tura,Meghalaya,Deemed,1950,,A++,109,951,5.1,469400,140330,True,68.1,4.37,21.24,102,2383.1,True,True,False,False,True,False,66.5,Own Entrance,4853
Academy of Law Pune,Pune,Maharashtra,Deemed,1963,,B+,60,1179,0.2,82325,142274,True,26.1,,,428,148.3,False,True,True,True,True,True,79.9,BITSAT,201
Sri Radhakrishnan Institute of Science Bhavnagar,Bhavnagar,Gujarat,Private,1898,225,B++,134,241,29.8,,91955,True,78.0,8.7,55.16,361,463.3,True,True,False,True,False,False,31.4,SRMJEEE,7189
Academy of Pharmacy Dhanbad,Dhanbad,Jharkhand,Deemed,2004,446,A,16,1313,0.1,236713,124842,True,40.6,4.95,29.09,676,1468.7,True,False,True,True,True,True,59.4,NATA,131
SRM Institute of Science and Technology,Chennai,Tamil Nadu,Private,1985,,A++,203,704,6.4,1288936,130056,True,88.2,13.15,46.79,591,1491.4,True,True,True,True,True,True,75.2,SRMJEEE,4500
Visva-Bharati University,Santiniketan,West Bengal,Government,1921,324,A,19,860,1.2,42174,160326,True,,3.44,18.61,657,2492.5,False,False,False,True,False,False,55.4,Own Entrance,1000
District Hotel Management College Aizawl,Aizawl,Mizoram,Government,1984,283,B++,243,,,46122,178994,False,64.7,4.96,12.03,239,148.0,True,True,True,True,True,True,14.6,VITEEE,4738
Excel Institute of Architecture Aizawl,Aizawl,Mizoram,Private,1869,,A,195,449,6.4,211430,175107,True,52.2,4.35,26.46,217,1222.1,True,True,True,True,False,False,16.8,KCET,2865
Rani Autonomous Institute Guntur,Guntur,Andhra Pradesh,Autonomous,1882,162,A,87,586,4.2,133736,73192,True,72.3,3.64,19.04,137,2087.2,True,True,False,False,True,True,34.0,CUET,2476
Prime College of Ayurveda Agartala,Agartala,Tripura,Private,1890,,B+,75,345,6.3,377441,158869,True,60.1,10.5,66.31,39,2033.4,True,True,True,True,True,True,12.6,WBJEE,2158
Global Academy of Engineering Deoghar,Deoghar,Jharkhand,Private,1897,,B++,233,1375,0.7,779299,36735,True,58.1,11.4,73.75,243,1487.1,False,True,True,False,False,True,17.0,JEE Advanced,990
Ambedkar College of Agriculture and Research Anantnag,Anantnag,Jammu & Kashmir,Private,1884,139,A+,74,185,38.7,664979,101216,True,77.9,5.46,19.63,545,1489.2,False,True,False,False,False,True,6.3,TS EAMCET,7155
District Dental Sciences College Thiruvananthapuram,Thiruvananthapuram,Kerala,Government,1910,198,A,153,576,8.4,26087,78513,True,64.6,4.76,14.24,147,1255.0,False,True,True,True,True,False,50.7,JEE Main,4853
Rourkela Government Dental Sciences College,Rourkela,Odisha,Government,1889,264,B++,137,1158,6.2,23610,54259,True,38.1,3.3,7.33,329,539.8,True,True,True,True,True,True,50.7,MHT CET,7146
Government Polytechnic Naharlagun,Naharlagun,Arunachal Pradesh,Government,1958,,B+,15,979,3.3,31270,152043,False,70.0,12.77,27.05,177,483.7,True,True,True,True,True,True,39.1,NATA,3267
Kamla Nehru Institute of Technology Phagwara,Phagwara,Punjab,Private,1872,240,A+,176,445,12.6,438826,112013,True,78.1,4.76,12.63,400,2307.6,True,True,True,True,True,True,31.7,MHT CET,5614
Patiala College of Pharmacy,Patiala,Punjab,Private,1942,,B,22,111,64.6,287329,90398,True,71.0,7.62,23.0,313,650.5,True,True,True,True,False,False,64.0,TS EAMCET,7174
Thiruvananthapuram Engineering Autonomous College,Thiruvananthapuram,Kerala,Autonomous,1910,,B+,155,184,37.6,139021,61019,True,42.0,2.45,12.73,562,1212.7,True,True,True,False,False,False,63.6,CUET,6911
Global Academy of Nursing Gulbarga,Gulbarga,Karnataka,Private,1922,249,B++,189,1337,1.6,366206,72332,True,72.7,11.48,53.36,400,680.9,True,True,True,True,False,True,24.0,TS EAMCET,2200
Government College of Pharmacy Karaikal,Karaikal,Puducherry,Government,1911,183,B++,101,1371,2.9,74891,27385,True,84.7,10.45,42.94,429,13.7,False,False,False,True,False,False,77.8,VITEEE,4042
Bellary Government Agriculture College,Bellary,Karnataka,Government,2014,,,50,562,4.8,244982,38539,True,92.7,25.85,63.66,255,2412.7,False,True,True,True,False,False,73.7,KCET,2707
Global Academy of Pharmacy Chandigarh,Chandigarh,Chandigarh,Private,1998,,A++,174,1164,2.3,366647,65868,True,79.8,9.95,22.45,214,2364.5,False,False,False,False,False,False,60.5,NEET UG,2659
Prime College of Computer Science Durg,Durg,Chhattisgarh,Private,1892,221,B+,244,1205,0.3,325961,73648,False,64.9,5.92,39.29,688,1150.0,True,True,True,True,True,False,24.7,CAT,362
Excel Institute of Architecture Khammam,Khammam,Telangana,Private,1918,397,B++,68,1010,3.7,201282,92406,True,48.5,3.27,19.26,238,1583.4,True,True,True,True,True,False,28.5,NEET UG,3742
Berhampur University,Berhampur,Odisha,Government,1967,244,B++,101,306,2.0,44281,51926,False,54.8,2.48,15.58,682,1910.1,False,False,True,True,False,False,55.4,Own Entrance,600
