name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake,institution_age,fee_category,region,infrastructure_score,naac_numeric
Radhakrishnan Academy of Journalism Vijayawada,Vijayawada,Andhra Pradesh,Deemed,1998,,A+,87,975.0,1.5,592004.0,104425,False,59.1,8.11,40.53,685,1177.4,True,True,True,True,True,True,37.7,WBJEE,1449,28,High (>5L),South,6,5
State Institute of Management Phagwara,Phagwara,Punjab,Government,1896,52.0,B++,22,424.0,5.6,131306.0,62708,True,71.9,30.8,167.45,156,182.0,True,False,True,False,False,False,21.6,State Level,2370,130,Medium (1-5L),North,2,3
Prime College of Medical Sciences Dharamsala,Dharamsala,Himachal Pradesh,Private,2002,166.0,B+,52,481.0,2.3,106596.0,90880,False,26.7,5.24,25.29,308,372.5,False,True,False,False,False,True,66.1,BITSAT,1105,24,Medium (1-5L),North,2,2
Autonomous College of Physical Education Bhubaneswar,Bhubaneswar,Odisha,Autonomous,2012,,B++,118,207.0,13.1,123431.0,85869,False,48.7,2.45,16.79,150,1938.3,True,True,True,True,True,False,7.6,JEE Advanced,2719,14,Medium (1-5L),East,5,3
Sapru Deemed University Nagaon,Nagaon,Assam,Deemed,1966,94.0,A+,109,373.0,4.1,348182.0,173215,True,93.8,13.6,71.35,195,232.7,True,False,True,False,False,False,48.1,AP EAMCET,1523,60,Medium (1-5L),Northeast,2,5
Guru Gobind Singh College of Education and Research Bardhaman,Bardhaman,West Bengal,Private,1881,363.0,A,66,87.0,52.1,226116.0,95377,True,52.1,2.83,17.96,482,852.9,True,True,False,True,True,True,34.0,CAT,4530,145,Medium (1-5L),East,5,4
Hemvati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,Government,1973,,A,243,1344.0,0.4,32134.0,127807,True,40.6,4.98,30.42,290,381.6,False,False,False,False,False,True,16.8,CUET,500,53,Low (<1L),North,1,4
State Institute of Technology Karaikal,Karaikal,Puducherry,Government,1873,,A+,224,330.0,17.4,115638.0,40776,True,92.4,17.87,49.06,456,697.7,True,True,True,False,True,False,77.9,Own Entrance,5756,153,Medium (1-5L),South,4,5
Autonomous College of Computer Science Itanagar,Itanagar,Arunachal Pradesh,Autonomous,1903,,B+,209,880.0,7.8,108367.0,133222,False,61.1,6.94,17.41,587,438.5,True,True,True,True,True,True,12.8,State Level,6903,123,Medium (1-5L),Northeast,6,2
Andhra University,Visakhapatnam,A.P.,Government,1926,345.0,A,184,924.0,2.2,41702.0,114173,True,33.8,3.13,6.75,614,986.9,False,False,True,True,True,True,27.7,Own Entrance,2000,100,Low (<1L),Other,4,4
Prime College of Fine Arts Gangtok,Gangtok,Sikkim,Private,1947,166.0,B,64,1282.0,2.7,244696.0,130361,False,77.1,9.05,57.33,229,2447.4,True,True,False,True,True,False,38.0,WBJEE,3515,79,Medium (1-5L),Northeast,4,1
Government Polytechnic Kochi,Kochi,Kerala,Government,1932,86.0,A++,199,1190.0,2.8,50240.0,143059,False,66.0,11.15,42.78,209,1075.9,False,False,True,True,True,True,47.1,CUET,3327,94,Low (<1L),South,4,6
Sapru College of Education and Research Aligarh,Aligarh,Uttar Pradesh,Private,1923,139.0,B+,202,452.0,13.5,331465.0,160512,True,65.9,9.32,65.1,39,2030.1,True,True,True,True,True,True,36.7,JEE Main,6088,103,Medium (1-5L),North,6,2
Chanakya Autonomous Institute Visakhapatnam,Visakhapatnam,Andhra Pradesh,Autonomous,1894,302.0,B+,44,1142.0,2.7,68806.0,154050,True,39.9,4.63,25.72,455,1359.5,False,True,False,False,False,True,46.0,NEET UG,3108,132,Low (<1L),South,2,2
Swami Foundation Education College Gandhinagar,Gandhinagar,Gujarat,Private,1966,333.0,B+,199,297.0,3.0,292419.0,157982,False,46.4,5.36,30.69,514,1387.8,False,True,False,True,True,True,9.2,VITEEE,889,60,Medium (1-5L),West,4,2
Agartala Information Technology Autonomous College,Agartala,Tripura,Autonomous,1930,93.0,B++,97,927.0,3.0,216144.0,124607,True,51.6,8.59,38.5,628,1552.6,False,True,True,True,True,True,30.6,University Entrance,2784,96,Medium (1-5L),Northeast,5,3
Saraswati Foundation Applied Sciences College Mandi,Mandi,Himachal Pradesh,Private,1857,23.0,A+,80,1193.0,1.1,2282138.0,98709,True,84.2,18.31,105.91,377,2248.0,False,False,True,True,True,True,17.9,JEE Main,1332,169,High (>5L),North,4,5
Sri Kalam Institute of Engineering Raipur,Raipur,Chhattisgarh,Private,1926,441.0,B++,212,779.0,4.8,286074.0,157539,True,50.6,4.77,10.18,612,2282.6,False,False,False,True,False,False,37.0,NATA,4222,100,Medium (1-5L),Central,1,3
Global Academy of Nursing Dimapur,Dimapur,Nagaland,Private,1923,,B,99,1362.0,4.1,203659.0,138976,True,56.0,7.91,24.97,700,1432.6,False,True,True,False,False,True,14.1,State Level,5543,103,Medium (1-5L),Northeast,3,1
Chanakya Institute of Pharmacy Aizawl,Aizawl,Mizoram,Private,2008,299.0,B++,81,547.0,12.7,275845.0,123146,True,36.5,2.99,15.81,348,,True,True,True,True,True,True,74.5,COMEDK,6945,18,Medium (1-5L),Northeast,6,3
Coimbatore Institute of Fine Arts,Coimbatore,Tamil Nadu,Private,1860,35.0,A,210,779.0,4.8,638712.0,142962,True,91.5,26.64,167.28,89,1798.1,True,True,False,False,False,True,39.7,AP EAMCET,2638,166,High (>5L),South,3,4
Government College of Ayurveda Meerut,Meerut,Uttar Pradesh,Government,1853,69.0,A+,210,494.0,1.4,60620.0,69420,True,83.3,11.96,30.79,209,1055.1,True,False,True,True,False,True,11.1,VITEEE,689,173,Low (<1L),North,4,5
Amrita University Aurangabad,Aurangabad,Maharashtra,Private,1870,,B++,20,1059.0,3.3,486703.0,59042,False,80.9,5.01,17.34,274,1408.3,False,True,False,False,False,False,35.8,SRMJEEE,3487,156,Medium (1-5L),West,1,3
Jorhat Hotel Management Autonomous College,Jorhat,Assam,Autonomous,1987,,A,5,603.0,11.9,123346.0,172049,False,48.0,2.49,5.84,575,474.7,False,False,False,False,True,False,54.9,Own Entrance,7172,39,Medium (1-5L),Northeast,1,4
Patel Institute of Physical Education Kohima,Kohima,Nagaland,Private,1972,121.0,B++,232,127.0,30.2,776153.0,97735,True,67.3,8.76,25.65,371,1448.5,True,True,False,False,True,True,23.3,CAT,3839,54,High (>5L),Northeast,4,3
Deemed Institute of Commerce Aurangabad,Aurangabad,Maharashtra,Deemed,1875,403.0,A,213,189.0,3.6,192932.0,157730,True,46.6,5.82,25.11,76,2192.9,False,False,False,True,True,True,67.3,State Level,688,151,Medium (1-5L),West,3,4
Sri Indira Institute of Arts Kohima,Kohima,Nagaland,Private,1918,,B+,176,1148.0,0.6,315682.0,41593,True,32.1,2.05,6.78,298,1515.0,True,False,True,True,True,False,44.8,WBJEE,637,108,Medium (1-5L),Northeast,4,2
Deemed Institute of Law Gandhinagar,Gandhinagar,Gujarat,Deemed,2010,72.0,A,10,497.0,9.2,667601.0,42282,True,87.8,17.44,115.66,404,556.6,True,True,True,False,True,True,29.9,CAT,4570,16,High (>5L),West,5,4
Dhanbad Management Autonomous College,Dhanbad,Jharkhand,Autonomous,1858,172.0,B++,92,1094.0,5.7,249386.0,30281,True,67.0,4.36,10.61,160,1618.9,True,True,True,False,True,False,23.8,BITSAT,6232,168,Medium (1-5L),East,4,3
IISER Mohali,Mohali,Punjab,Government,2007,,A+,58,1175.0,0.1,137427.0,83850,True,98.8,30.1,91.08,610,541.4,True,True,True,True,False,True,74.1,IAT,170,19,Medium (1-5L),North,5,5
State Institute of Physical Education Nellore,Nellore,Andhra Pradesh,Government,1996,12.0,B+,170,207.0,30.9,120742.0,40070,True,85.7,14.06,37.21,474,2031.0,False,True,True,True,False,True,40.3,University Entrance,6393,30,Medium (1-5L),South,4,2
Babasaheb Foundation Science College Shillong,Shillong,Meghalaya,Private,1856,345.0,B++,75,649.0,5.8,280056.0,117942,False,25.8,4.81,28.02,85,,True,True,True,False,True,True,72.5,WBJEE,3776,170,Medium (1-5L),Northeast,5,3
Autonomous College of Agriculture Anantnag,Anantnag,Jammu & Kashmir,Autonomous,1976,220.0,A++,195,1490.0,4.2,100138.0,53852,True,58.9,4.8,21.8,614,,True,False,False,True,False,False,55.1,CUET,6326,50,Medium (1-5L),North,2,6
Anand Autonomous College of Nursing,Anand,Gujarat,Autonomous,1883,,B++,120,1043.0,3.1,123346.0,120475,True,51.15,4.38,18.11,447,578.2,True,False,True,False,True,True,32.5,UPSEE,3285,143,Medium (1-5L),West,4,3
Dimapur Institute of Education (Deemed),Dimapur,Nagaland,Deemed,1903,228.0,A,126,773.5,5.2,274269.0,102977,True,37.4,3.07,13.08,336,1987.4,False,True,False,False,False,False,14.4,CLAT,7822,123,Medium (1-5L),Northeast,1,4
Chandigarh State Law College Chandigarh,Chandigarh,Chandigarh,Government,1945,182.0,A+,210,340.0,5.8,89721.0,161818,True,71.2,13.19,72.81,14,2020.9,True,True,False,True,True,False,19.7,VITEEE,1985,81,Low (<1L),North,4,5
Academy of Homeopathy Kollam,Kollam,Kerala,Deemed,2015,209.0,B+,93,884.0,7.5,216813.0,142768,True,37.4,4.22,12.94,144,1488.8,False,True,True,False,False,True,24.4,CAT,6592,11,Medium (1-5L),South,3,2
Modern Institute of Management Namchi,Namchi,Sikkim,Private,1928,71.0,B,91,1020.0,1.9,1199577.0,75908,False,85.4,15.22,87.72,373,54.6,False,True,False,False,False,False,44.2,KCET,1979,98,High (>5L),Northeast,1,1
State Institute of Physical Education Aizawl,Aizawl,Mizoram,Government,2017,81.0,A+,195,409.0,10.0,232587.0,130213,True,71.9,27.83,63.19,137,2363.2,False,True,True,False,False,False,63.3,NATA,4095,9,Medium (1-5L),Northeast,2,5
Government Polytechnic New Delhi,New Delhi,Delhi,Government,2015,135.0,A,17,727.0,8.6,73570.0,175101,False,87.4,6.04,17.5,550,1339.5,True,True,False,False,True,True,52.1,NEET UG,6249,11,Low (<1L),North,4,4
Tura Institute of Management,Tura,Meghalaya,Private,1993,,B++,113,855.0,4.8,674840.0,84642,True,82.6,12.02,76.6,469,156.5,True,True,True,True,True,False,57.9,University Entrance,4094,33,High (>5L),Northeast,5,3
Srinagar Institute of Computer Science (Deemed),Srinagar,Jammu & Kashmir,Deemed,1915,238.0,B+,132,773.0,6.6,203324.0,48855,True,35.0,3.99,23.07,134,2235.6,True,False,True,True,True,True,34.0,NEET UG,5110,111,Medium (1-5L),North,5,2
Delhi Social Work Autonomous College,Delhi,Delhi,Autonomous,1900,,A,158,390.0,17.0,95359.0,32266,True,49.7,3.15,8.25,344,1478.7,False,False,False,False,False,True,20.9,JEE Advanced,6635,126,Low (<1L),North,1,4
Autonomous College of Physical Education Howrah,Howrah,West Bengal,Autonomous,1958,,B++,142,1412.0,1.1,197336.0,48124,True,67.5,7.47,51.11,268,370.5,True,False,False,False,False,False,83.0,NATA,1602,68,Medium (1-5L),East,1,3
Global Academy of Arts Aizawl,Aizawl,Mizoram,Private,1960,,A+,108,797.0,4.1,241599.0,123704,True,64.8,4.21,11.48,320,1952.0,True,True,True,True,False,True,26.1,Own Entrance,3274,66,Medium (1-5L),Northeast,5,5
Babasaheb College of Science and Research Dharwad,Dharwad,Karnataka,Private,1942,481.0,A,95,545.0,4.7,171804.0,162448,True,31.2,4.03,11.13,148,1107.4,True,True,True,True,True,True,36.2,UPSEE,2545,84,Medium (1-5L),South,6,4
Prime College of Dental Sciences Imphal,Imphal,Manipur,Private,1967,433.0,B+,217,1009.0,5.2,378116.0,33627,True,47.7,3.19,21.13,572,1018.3,True,True,True,False,True,False,55.6,CLAT,5252,59,Medium (1-5L),Other,4,2
Kalyani Institute of Education (Deemed),Kalyani,West Bengal,Deemed,2003,,B,238,160.0,3.1,279353.0,42158,True,46.5,3.07,18.88,112,1697.6,True,True,True,True,True,True,13.5,NATA,494,23,Medium (1-5L),East,6,1
State Institute of Applied Sciences Bellary,Bellary,Karnataka,Government,1871,409.0,B++,44,1084.0,4.9,41848.0,130825,True,58.8,2.08,4.35,585,1410.4,True,True,True,True,True,True,56.2,State Level,5342,155,Low (<1L),South,6,3
Guru Gobind Singh Academy of Architecture Agartala,Agartala,Tripura,Deemed,1991,,A,43,1177.0,2.2,231418.0,23883,True,54.1,8.7,28.69,267,1342.7,False,False,False,False,True,False,71.3,KCET,2540,35,Medium (1-5L),Northeast,1,4
Kamla Nehru University Aizawl,Aizawl,Mizoram,Private,2023,292.0,B+,60,1201.0,6.5,273040.0,138765,False,30.2,5.49,25.61,469,1063.4,True,False,False,True,True,True,52.3,SRMJEEE,7842,3,Medium (1-5L),Northeast,4,2
Vidyasagar Autonomous Institute Prayagraj,Prayagraj,Uttar Pradesh,Autonomous,1967,187.0,B,46,1374.0,2.4,42576.0,160841,True,26.7,4.26,23.08,622,226.0,True,False,True,True,True,True,58.3,WBJEE,3319,59,Low (<1L),North,5,1
Solapur College of Law,Solapur,Maharashtra,Private,1982,213.0,B+,87,625.0,2.2,355264.0,153234,False,52.6,5.44,28.22,207,1302.9,True,False,True,True,True,True,64.6,AP EAMCET,1400,44,Medium (1-5L),West,5,2
Jamshedpur Institute of Technology,Jamshedpur,Jharkhand,Private,1867,184.0,A,223,351.0,9.6,378116.0,129434,True,45.1,3.2,10.35,425,2191.0,True,True,True,True,True,True,67.1,CUET,3367,159,Medium (1-5L),East,6,4
Grant Medical College,Mumbai,Maharashtra,Government,1845,,A+,234,1426.0,0.1,54226.0,62585,False,78.0,10.67,66.66,563,830.7,True,True,True,True,True,True,64.5,NEET UG,200,181,Low (<1L),West,6,5
Satna Institute of Arts (Deemed),Satna,Madhya Pradesh,Deemed,1981,,B+,61,306.0,20.6,521464.0,139019,True,68.3,9.01,22.78,382,965.2,False,True,True,True,True,False,39.0,TNEA,6289,45,High (>5L),Central,4,2
Patel Foundation Fine Arts College Sambalpur,Sambalpur,Odisha,Private,2019,,B+,137,1120.0,4.9,221671.0,83934,True,66.7,6.62,15.74,621,1224.5,True,True,True,False,True,True,50.6,TS EAMCET,5433,7,Medium (1-5L),East,5,2
District Journalism College Gangtok,Gangtok,Sikkim,Government,1952,249.0,A+,63,281.0,7.8,55315.0,156769,False,75.0,11.41,44.72,91,1771.3,False,False,True,False,False,True,34.7,TS EAMCET,2185,74,Low (<1L),Northeast,2,5
New Delhi Government Ayurveda College,New Delhi,Delhi,Government,2018,307.0,B++,165,1323.0,1.2,46446.0,166918,True,54.6,5.91,24.46,488,572.3,False,False,False,False,False,False,68.3,WBJEE,1625,8,Low (<1L),North,0,3
Pune Government Law College,Pune,maharashtra,Government,1940,407.0,A,112,843.0,6.0,46446.0,51922,False,61.7,2.77,6.15,341,147.6,True,False,True,False,True,False,34.8,UPSEE,5088,86,Low (<1L),Other,3,4
Autonomous College of Fashion Design Rajkot,Rajkot,Gujarat,Autonomous,1993,420.0,B++,100,517.0,7.5,121569.0,77389,True,28.1,4.35,14.42,467,1835.0,False,False,False,True,True,False,45.7,CAT,3884,33,Medium (1-5L),West,2,3
Raman University Aizawl,Aizawl,Mizoram,Private,1936,45.0,A,140,366.0,18.6,677810.0,60992,True,90.8,15.03,36.29,455,1341.3,False,True,False,True,True,True,36.7,WBJEE,6811,90,High (>5L),Northeast,4,4
Autonomous College of Information Technology Delhi,Delhi,Delhi,Autonomous,2020,204.0,B++,225,688.0,2.2,55796.0,122607,False,73.0,3.4,9.7,40,200.8,True,False,False,True,False,True,69.1,GATE,1480,6,Low (<1L),North,3,3
Modern Institute of Ayurveda Tezpur,Tezpur,Assam,Private,1987,,B,102,1206.0,2.0,248089.0,39887,True,57.7,2.28,7.27,45,876.7,True,True,True,False,True,True,76.2,TS EAMCET,2374,39,Medium (1-5L),Northeast,5,1
Roorkee Autonomous College of Fine Arts,Roorkee,Uttarakhand,Autonomous,1886,,B,142,1145.0,1.5,139941.0,153352,False,42.6,1.89,12.31,209,18.6,False,False,True,True,False,True,70.9,CUET,1754,140,Medium (1-5L),North,3,1
Kurukshetra Institute of Applied Sciences,Kurukshetra,Haryana,Private,1901,163.0,B+,192,928.0,0.7,625367.0,108703,True,60.7,5.0,22.89,558,668.9,True,True,True,True,True,True,75.8,MHT CET,659,125,High (>5L),North,6,2
Autonomous College of Social Work Karaikal,Karaikal,Puducherry,Autonomous,1924,,A+,231,627.0,7.4,478017.0,146267,True,77.9,16.34,93.62,172,1325.7,True,True,True,True,True,True,26.2,GATE,4628,102,Medium (1-5L),South,6,5
Shimla Social Work Autonomous College,Shimla,Himachal Pradesh,Autonomous,1923,256.0,B+,207,607.0,12.9,135967.0,123236,True,42.4,4.07,18.14,478,2268.8,False,False,False,False,False,True,12.6,CAT,7837,103,Medium (1-5L),North,1,2
State Institute of Social Work Delhi,Delhi,Delhi,Government,2010,202.0,A,226,198.0,10.8,26994.0,46020,True,71.4,9.64,46.19,246,2414.1,True,False,False,False,False,True,56.7,NEET UG,2142,16,Low (<1L),North,2,4
Nagaland State Computer Science College Kohima,Kohima,Nagaland,Government,1987,,B++,202,336.0,9.3,44610.0,171699,True,50.7,5.01,14.46,46,2106.2,False,True,True,True,True,True,52.4,NATA,3114,39,Low (<1L),Northeast,5,3
Prime College of Fine Arts Aizawl,Aizawl,Mizoram,Private,1997,,B++,74,1288.0,0.9,552987.0,60070,True,70.0,4.88,18.61,549,,False,False,False,True,False,False,27.7,VITEEE,1165,29,High (>5L),Northeast,1,3
Autonomous College of Pharmacy Kannur,Kannur,Kerala,Autonomous,1948,,B,75,1172.0,0.6,159862.0,49583,True,65.9,3.06,17.12,620,1395.6,True,True,True,True,True,True,22.7,JEE Main,689,78,Medium (1-5L),South,6,1
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Government,2016,349.0,A,224,80.0,3.1,18555.0,130138,False,43.6,5.08,34.19,599,952.2,False,True,True,False,True,True,1.5,JEE Advanced,250,10,Low (<1L),North,4,4
District Management College Korba,Korba,Chhattisgarh,Government,1852,374.0,B++,99,1349.0,3.2,15190.0,53126,True,35.0,4.27,14.25,265,1696.2,False,False,True,True,True,False,36.1,University Entrance,4267,174,Low (<1L),Central,3,3
Jadavpur University,Kolkata,West Bengal,Government,1955,35.0,A++,244,702.0,2.8,72737.0,125076,True,94.4,16.25,43.92,264,19.1,True,False,False,True,False,True,33.2,WBJEE,2000,71,Low (<1L),East,3,6
Tagore Institute of Physical Education Pantnagar,Pantnagar,Uttarakhand,Private,1933,,B++,78,320.0,2.7,760335.0,79041,True,63.4,7.91,19.06,351,1822.2,True,True,True,False,True,True,19.3,CLAT,849,93,High (>5L),North,5,3
Excel Institute of Arts Darbhanga,Darbhanga,Bihar,Private,1874,92.0,B++,195,902.0,3.1,704108.0,157555,True,97.2,19.31,73.57,18,258.2,True,False,True,True,False,True,3.7,TS EAMCET,2783,152,High (>5L),East,4,3
Gandhi Institute of Arts Chandigarh,Chandigarh,Chandigarh,Private,2007,227.0,A,235,976.0,6.9,213818.0,172585,False,57.2,4.78,25.64,423,977.2,True,True,True,True,True,False,34.8,BITSAT,6750,19,Medium (1-5L),North,5,4
Modern Institute of Nursing Haldwani,Haldwani,Uttarakhand,Private,1866,57.0,B+,192,1399.0,4.9,678746.0,153753,True,76.5,8.96,49.24,17,1449.7,True,True,False,True,True,True,11.1,KCET,6898,160,High (>5L),North,5,2
Indian School of Business,Hyderabad,Telangana,Private,2001,67.0,A++,20,1047.0,0.9,2025080.0,100612,True,81.9,20.6,65.73,155,1779.7,False,True,True,False,True,True,8.8,GMAT/GRE,900,25,High (>5L),South,4,6
Aurobindo Autonomous Institute Puducherry,Puducherry,Puducherry,Autonomous,1853,,B++,217,1145.0,5.7,118722.0,159221,False,37.6,2.26,13.26,659,812.5,True,True,True,True,True,True,44.2,JEE Advanced,6555,173,Medium (1-5L),South,6,3
Nainital Government Management College,Nainital,Uttarakhand,Government,1991,52.0,A+,102,1113.0,6.3,298852.0,88439,True,85.2,12.0,28.64,352,676.3,False,False,True,False,False,False,59.2,Own Entrance,7046,35,Medium (1-5L),North,1,5
Chennai Institute of Management (Deemed),Chennai,Tamil Nadu,Deemed,1883,,A++,199,798.0,4.8,1116037.0,124298,True,94.8,9.86,52.74,492,1361.0,False,False,False,True,False,False,25.9,BITSAT,3846,143,High (>5L),South,1,6
Deemed Institute of Computer Science Faridabad,Faridabad,Haryana,Deemed,1873,365.0,B,149,773.5,5.2,119211.0,97306,False,48.4,5.55,33.95,329,1037.0,False,False,True,False,True,False,47.1,BITSAT,4490,153,Medium (1-5L),North,2,1
Tilak Autonomous Institute Gwalior,Gwalior,Madhya Pradesh,Autonomous,1937,88.0,B++,198,773.0,5.0,290081.0,151621,True,81.6,4.8,21.8,327,1282.8,True,True,False,False,False,False,24.2,Own Entrance,4759,89,Medium (1-5L),Central,2,3
Acharya Autonomous Institute Chandigarh,Chandigarh,Chandigarh,Autonomous,1882,,B+,38,308.0,17.1,63292.0,92613,True,73.1,7.18,22.22,459,1246.1,False,False,False,False,True,False,72.4,JEE Advanced,5254,144,Low (<1L),North,1,2
Jai Prakash Deemed University Hubli,Hubli,Karnataka,Deemed,1995,,B+,23,1058.0,6.3,561618.0,27053,True,77.8,13.92,82.25,325,469.9,False,True,False,False,False,True,57.7,AP EAMCET,6679,31,High (>5L),South,2,2
Raman Institute of Nursing Haridwar,Haridwar,Uttarakhand,Private,1966,251.0,B++,23,277.0,3.3,127502.0,160865,False,30.8,4.75,21.02,250,1804.1,True,True,True,True,True,True,50.8,JEE Advanced,915,60,Medium (1-5L),North,6,3
Government Science College Lucknow,Lucknow,Uttar Pradesh,Government,1874,,B++,77,607.0,5.8,20234.0,168522,True,66.4,6.11,42.06,450,603.2,True,False,True,False,True,False,19.5,University Entrance,3527,152,Low (<1L),North,3,3
Guru Gobind Singh Deemed University Naharlagun,Naharlagun,Arunachal Pradesh,Deemed,1963,,B++,88,1229.0,2.7,140752.0,160267,True,36.0,5.14,11.7,656,1128.6,False,False,False,False,False,True,83.3,GATE,3259,63,Medium (1-5L),Northeast,1,3
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,Deemed,2003,,A++,193,395.0,7.6,251448.0,97116,False,62.6,9.89,23.46,536,300.1,True,False,True,True,False,True,4.4,AEEE,3000,23,Medium (1-5L),South,4,6
Excel Institute of Veterinary Science Phagwara,Phagwara,Punjab,Private,1881,12.0,A,145,1467.0,2.8,1377862.0,55915,True,90.8,21.6,148.57,77,1648.6,False,False,True,True,True,False,66.1,TS EAMCET,4043,145,High (>5L),North,3,4
